"phase","implemented","rule name","rule content","spec location","compiler location"
"Phase 1 - Parse and Aggregate","complete","EncodeUTF8(u)","EncodeUTF8(u) =
 [u]  if 0 ? u ? 0x7F
 [0xC0 ? (u >> 6), 0x80 ? (u & 0x3F)]  if 0x80 ? u ? 0x7FF
 [0xE0 ? (u >> 12), 0x80 ? ((u >> 6) & 0x3F), 0x80 ? (u & 0x3F)]  if 0x800 ? u ? 0xFFFF
 [0xF0 ? (u >> 18), 0x80 ? ((u >> 12) & 0x3F), 0x80 ? ((u >> 6) & 0x3F), 0x80 ? (u & 0x3F)]  if 0x10000 ? u ? 0x10FFFF","CursiveSpecification.md:1689-1693","cursive/include/00_core/source_text.h:66-81 ? `AppendUtf8` implements the exact 1-byte, 2-byte, 3-byte, and 4-byte UTF-8 encodings for a single scalar"
"Phase 1 - Parse and Aggregate","complete","EncodeUTF8([])","EncodeUTF8([]) = []","CursiveSpecification.md:1694","cursive/include/00_core/source_text.h:84-90 ? `EncodeUtf8` on an empty scalar sequence returns an empty byte string"
"Phase 1 - Parse and Aggregate","complete","EncodeUTF8(u::U)","EncodeUTF8(u::U) = EncodeUTF8(u) ++ EncodeUTF8(U)","CursiveSpecification.md:1695","cursive/include/00_core/source_text.h:84-90 ? `EncodeUtf8` iterates scalars in order and appends each scalar encoding, matching the recursive concatenation rule"
"Phase 1 - Parse and Aggregate","complete","DecodeUTF8(B)","DecodeUTF8(B) = U ? EncodeUTF8(U) = B","CursiveSpecification.md:1696","cursive/include/00_core/source_text.h:84-90; cursive/src/00_core/source_load.cpp:118-195 ? the encoder and decoder are exact inverses on accepted UTF-8: `DecodeUtf8Internal` rejects malformed, overlong, surrogate, and out-of-range encodings and reconstructs exactly the scalar sequence produced by `EncodeUtf8`"
"Phase 1 - Parse and Aggregate","complete","Utf8Valid(B)","Utf8Valid(B) ? ? U. DecodeUTF8(B) = U","CursiveSpecification.md:1697","cursive/src/00_core/source_load.cpp:118-195,232-242 ? UTF-8 validity is implemented operationally by `DecodeUtf8Internal`; `Decode` succeeds iff the byte sequence decodes under that UTF-8 algorithm"
"Phase 1 - Parse and Aggregate","complete","Utf8(s)","Utf8(s) = EncodeUTF8(s)","CursiveSpecification.md:1698","cursive/include/00_core/source_text.h:84-90 ? `Utf8(s)` is implemented by `EncodeUtf8(scalars)` on scalar sequences"
"Phase 1 - Parse and Aggregate","complete","NormalizeOutsideIdentifiers : Scalars ? Scalars","NormalizeOutsideIdentifiers : Scalars ? Scalars","CursiveSpecification.md:1702","cursive/include/00_core/source_text.h:47-49 ? `NormalizeOutsideIdentifiers` is defined as an identity helper over `Scalars`; cursive/src/00_core/source_load.cpp:334-335 routes normalization through `NormalizeOutsideIdentifiers(stripped.scalars)` before `NormalizeLF(...)`; HelloCursive/Compiler/RunCompilerStaticConformance.ps1:10521-10540,16461 adds and invokes `issue565_normalize_outside_identifiers_conformance`"
"Phase 1 - Parse and Aggregate","complete","NormalizeOutsideIdentifiers(T)","NormalizeOutsideIdentifiers(T) = T","CursiveSpecification.md:1703","cursive/include/00_core/source_text.h:47-49 ? `NormalizeOutsideIdentifiers` is implemented as the identity function `return scalars;`; HelloCursive/Compiler/RunCompilerStaticConformance.ps1:10521-10540,16461 adds and invokes `issue565_normalize_outside_identifiers_conformance`, which checks that identity body and the load pipeline usage"
"Phase 1 - Parse and Aggregate","complete","T","T = S.scalars","CursiveSpecification.md:1707","cursive/include/00_core/source_text.h:146-153 ? `SourceFile` carries `scalars`; cursive/src/00_core/source_load.cpp:204-205 assigns `source.scalars = std::move(scalars)` in `BuildSpanSource`; cursive/src/02_source/lexer/tokenize.cpp:253 and cursive/src/02_source/lexer/lexer.cpp:302,397 project `const auto& scalars = source.scalars`; HelloCursive/Compiler/RunCompilerStaticConformance.ps1:10543-10569,16432 adds and invokes `issue566_source_scalars_projection_conformance`"
"Phase 1 - Parse and Aggregate","complete","LexSensitivePos(S)","LexSensitivePos(S) = [ p | 0 ? p < |T| ? Sensitive(T[p]) ? ? InsideLiteralOrComment(p) ]","CursiveSpecification.md:1735","cursive/src/02_source/lexer/tokenize.cpp:321-332,390-394; cursive/src/02_source/lexer/lexer_literals.cpp:837-917; cursive/src/00_core/unicode.cpp:323-326. Unterminated-literal recovery no longer leaks sensitive positions, and closed quoted spans now match the clarified StringRange/CharRange surface, so the effective sensitive-position set matches the spec relation."
"Phase 1 - Parse and Aggregate","complete","?","? ? LexSecure(S, K, LexSensitivePos(S)) ? ok","CursiveSpecification.md:1709","cursive/include/02_source/lexer/lexer.h:97 ? declares `LexSensitivePos(const core::SourceFile&)`; cursive/src/02_source/lexer/lexer_security.cpp:248-287 computes the exact source-based sensitive-position set by skipping comment/literal ranges and collecting `Sensitive(T[p])`; cursive/src/02_source/lexer/tokenize.cpp:430-431 now calls `LexSecure(source, lexed.output.tokens, LexSensitivePos(source))`; HelloCursive/Compiler/RunCompilerStaticConformance.ps1:10575-10609,16495 adds and invokes `issue567_lex_sensitive_pos_conformance`"
"Phase 1 - Parse and Aggregate","complete","Decode-Ok","**(Decode-Ok)**
DecodeUTF8(B) ? U
????????????????????????
? ? Decode(B) ? U","CursiveSpecification.md:1713-1716","cursive/src/00_core/source_load.cpp:232"
"Phase 1 - Parse and Aggregate","complete","Decode-Err","**(Decode-Err)**
DecodeUTF8(B) ?
????????????????????????
? ? Decode(B) ?","CursiveSpecification.md:1718-1721","cursive/src/00_core/source_load.cpp:232"
"Phase 1 - Parse and Aggregate","complete","StripLeadBOM([])","StripLeadBOM([]) = []","CursiveSpecification.md:1723","cursive/src/00_core/source_load.cpp:245-250 ? `StripBOM` returns the empty result tuple on an empty scalar sequence, matching `StripLeadBOM([]) = []` in the empty case"
"Phase 1 - Parse and Aggregate","complete","StripLeadBOM(U+FEFF::U)","StripLeadBOM(U+FEFF::U) = U","CursiveSpecification.md:1724","cursive/src/00_core/source_load.cpp:252-257 ? when the first scalar is BOM, `StripBOM` drops the leading `U+FEFF` from the returned scalar sequence"
"Phase 1 - Parse and Aggregate","complete","StripLeadBOM(u::U)","StripLeadBOM(u::U) = u::U  if u ? U+FEFF","CursiveSpecification.md:1725","cursive/src/00_core/source_load.cpp:252-257 ? when the first scalar is not BOM, `StripBOM` leaves the scalar sequence unchanged"
"Phase 1 - Parse and Aggregate","complete","StripBOM-Empty","**(StripBOM-Empty)**
????????????????????????????????????????
? ? StripBOM([]) ? ([], false, ?)","CursiveSpecification.md:1727-1729","cursive/src/00_core/source_load.cpp:245-250 ? the empty-strip judgment is implemented exactly by the early empty-input return"
"Phase 1 - Parse and Aggregate","complete","StripBOM-None","**(StripBOM-None)**
U = u_0::u_1::?    u_0 ? U+FEFF    ? i > 0, u_i ? U+FEFF
????????????????????????????????????????????????????????????
? ? StripBOM(U) ? (U, false, ?)","CursiveSpecification.md:1731-1734","cursive/src/00_core/source_load.cpp:252-273 ? when there is no leading BOM and no embedded BOM after the scan, `StripBOM` returns the original sequence with `had_bom = false` and no embedded index"
"Phase 1 - Parse and Aggregate","complete","StripBOM-Start","**(StripBOM-Start)**
U = U+FEFF::U_1    ? i, U_1[i] ? U+FEFF
????????????????????????????????????????????
? ? StripBOM(U) ? (U_1, true, ?)","CursiveSpecification.md:1736-1739","cursive/src/00_core/source_load.cpp:252-273 ? when there is a leading BOM and no remaining BOM after stripping, `StripBOM` returns the tail with `had_bom = true` and no embedded index"
"Phase 1 - Parse and Aggregate","complete","StripBOM-Embedded","**(StripBOM-Embedded)**
U' = StripLeadBOM(U)    b = (U ? [] ? U[0] = U+FEFF)    i = min{ p | 0 ? p < |U'| ? U'[p] = U+FEFF }
??????????????????????????????????????????????????????????????????????????????????????????????????????????
? ? StripBOM(U) ? (U', b, i)","CursiveSpecification.md:1741-1744","cursive/src/00_core/source_load.cpp:252-265 ? after optionally stripping a leading BOM, the implementation scans the remaining sequence and returns the first embedded BOM index exactly as the embedded-BOM rule requires"
"Phase 1 - Parse and Aggregate","complete","CR","CR = U+000D","CursiveSpecification.md:1748","cursive/include/00_core/source_text.h:16 ? `kCR` is defined as `0x0D`"
"Phase 1 - Parse and Aggregate","complete","LF","LF = U+000A","CursiveSpecification.md:1749","cursive/include/00_core/source_text.h:15 ? `kLF` is defined as `0x0A`"
"Phase 1 - Parse and Aggregate","complete","Norm-Empty","**(Norm-Empty)**
????????????????????????????????????????
? ? NormalizeLF([]) ? []","CursiveSpecification.md:1751-1753","cursive/src/00_core/source_load.cpp:276-280 ? `NormalizeLF([])` returns the empty sequence"
"Phase 1 - Parse and Aggregate","complete","Norm-CRLF","**(Norm-CRLF)**
? ? NormalizeLF(U) ? V
????????????????????????????????????????????????????????
? ? NormalizeLF([CR, LF] ++ U) ? [LF] ++ V","CursiveSpecification.md:1755-1758","cursive/src/00_core/source_load.cpp:286-293 ? the normalizer rewrites `[CR, LF]` to a single `LF` before recurring on the tail"
"Phase 1 - Parse and Aggregate","complete","Norm-CR","**(Norm-CR)**
U = [] ? U[0] ? LF    ? ? NormalizeLF(U) ? V
??????????????????????????????????????????????????????????
? ? NormalizeLF([CR] ++ U) ? [LF] ++ V","CursiveSpecification.md:1760-1763","cursive/src/00_core/source_load.cpp:286-297 ? a lone `CR` not followed by `LF` is rewritten to `LF` before recurring on the tail"
"Phase 1 - Parse and Aggregate","complete","Norm-LF","**(Norm-LF)**
? ? NormalizeLF(U) ? V
????????????????????????????????????????????
? ? NormalizeLF([LF] ++ U) ? [LF] ++ V","CursiveSpecification.md:1765-1768","cursive/src/00_core/source_load.cpp:300-304 ? an `LF` is preserved and normalization continues on the tail"
"Phase 1 - Parse and Aggregate","complete","Norm-Other","**(Norm-Other)**
c ? CR    c ? LF    ? ? NormalizeLF(U) ? V
????????????????????????????????????????????
? ? NormalizeLF([c] ++ U) ? [c] ++ V","CursiveSpecification.md:1770-1773","cursive/src/00_core/source_load.cpp:306-308 ? any non-CR, non-LF scalar is preserved and normalization continues on the tail"
"Phase 1 - Parse and Aggregate","complete","Cursive Language Specification > 4. Source Text and Lexical Structure > 4.1 Source Loading and Normalization > 4.1.4 Line Ending Normalization and Logical Lines paragraph @1775","**Logical Line Map.**","CursiveSpecification.md:1775","n/a - heading-only organizational label; the substantive logical-line-map rules are audited in the immediately following Utf8Offsets/LineStarts/LineCount rows"
"Phase 1 - Parse and Aggregate","complete","Utf8Offsets([])","Utf8Offsets([]) = [0]","CursiveSpecification.md:1776","cursive/include/00_core/source_text.h:33-42 ? `Utf8Offsets([])` yields `[0]` because the offsets vector is initialized with `0` before scanning any scalars"
"Phase 1 - Parse and Aggregate","complete","Utf8Offsets(c::cs)","Utf8Offsets(c::cs) = [0] ++ [o + Utf8Len(c) | o ? Utf8Offsets(cs)]","CursiveSpecification.md:1777","cursive/include/00_core/source_text.h:33-42 ? `Utf8Offsets` computes the running prefix sums of `Utf8Len`, which is the iterative equivalent of the recursive `Utf8Offsets(c::cs)` rule"
"Phase 1 - Parse and Aggregate","complete","LineStarts(T)","LineStarts(T) = [0] ++ [Utf8Offsets(T)[i] + 1 | 0 ? i < |T| ? T[i] = LF]","CursiveSpecification.md:1779","cursive/include/00_core/source_text.h:45-58 ? `LineStarts` is defined as `[0]` plus `Utf8Offsets(T)[i] + 1` for each logical LF position"
"Phase 1 - Parse and Aggregate","complete","LineCount(T)","LineCount(T) = |LineStarts(T)|","CursiveSpecification.md:1780","cursive/src/00_core/source_load.cpp:207-208; cursive/include/00_core/source_text.h:45-58 ? `line_count` is computed as `line_starts.size()`, exactly matching `|LineStarts(T)|`"
"Phase 1 - Parse and Aggregate","complete","Cursive Language Specification > 4. Source Text and Lexical Structure > 4.1 Source Loading and Normalization > 4.1.4 Line Ending Normalization and Logical Lines paragraph @1782","**Locate (Line/Column).**","CursiveSpecification.md:1782","n/a - heading-only organizational label; the substantive Locate rules are audited in the immediately following L/o'/k/Locate rows"
"Phase 1 - Parse and Aggregate","complete","L","L = S.line_starts","CursiveSpecification.md:1783","cursive/src/00_core/span.cpp:89-90 ? `Locate` binds `L` to `source.line_starts` directly"
"Phase 1 - Parse and Aggregate","complete","o'","o' = min(o, S.byte_len)","CursiveSpecification.md:1784","cursive/src/00_core/span.cpp:89 ? `Locate` computes `o' = min(o, S.byte_len)` exactly"
"Phase 1 - Parse and Aggregate","complete","k","k = max{ j | L[j] ? o' }","CursiveSpecification.md:1785","cursive/src/00_core/span.cpp:92-97 ? `Locate` computes `k` as the greatest line-start index not exceeding `o'` via `upper_bound(...)-1`"
"Phase 1 - Parse and Aggregate","complete","?","? ? Locate(S, o) ? ?file = S.path, offset = o', line = k + 1, col = o' - L[k] + 1?","CursiveSpecification.md:1787","cursive/src/00_core/span.cpp:89-104 ? `Locate` returns `?file = source.path, offset = o', line = k + 1, col = o' - L[k] + 1?` exactly"
"Phase 1 - Parse and Aggregate","complete","Prohibited(c)","Prohibited(c) ? General_Category(c) = Cc ? c ? {U+0009, U+000A, U+000C, U+000D}","CursiveSpecification.md:1791","cursive/src/00_core/unicode.cpp:520-526 ? `IsProhibited` implements the exact `Cc`-category subset `{0x00..0x1F, 0x7F..0x9F} \ {0x09,0x0A,0x0C,0x0D}`"
"Phase 1 - Parse and Aggregate","complete","LiteralSpan(T)","LiteralSpan(T) = ? { [ByteOf(T, i), ByteOf(T, j)) | StringRange(T, i, j) ? CharRange(T, i, j) }","CursiveSpecification.md:1793","cursive/src/00_core/unicode.cpp:511-528 ? `LiteralSpan` is now an explicit helper that builds the literal byte-interval union from recognized string/char ranges; cursive/src/00_core/unicode.cpp:556-565 uses `LiteralSpan(scalars)` plus `ByteInLiteralSpan(offsets[i], spans, &span_index)` when checking prohibited bytes; HelloCursive/Compiler/RunCompilerStaticConformance.ps1:10612-10630,16503 adds and invokes `issue568_literal_span_conformance`"
"Phase 1 - Parse and Aggregate","complete","WF-Prohibited","**(WF-Prohibited)**
? i, Prohibited(T[i]) ? ByteOf(T, i) ? LiteralSpan(T)
???????????????????????????????????????????????????????
? ? T : NoProhibited","CursiveSpecification.md:1795-1798","cursive/src/00_core/unicode.cpp:483-515,528-547 ? prohibited code points are accepted only when their byte offset lies inside the computed string/char literal byte spans, matching the `WF-Prohibited` condition"
"Phase 1 - Parse and Aggregate","complete","NFC(s)","NFC(s) = UnicodeNFC_{15.0.0}(s)","CursiveSpecification.md:1802","cursive/src/00_core/unicode.cpp:221-245 ? `NFC` is implemented with ICU NFC normalization and statically pinned to Unicode 15.0"
"Phase 1 - Parse and Aggregate","complete","CaseFold(s)","CaseFold(s) = UnicodeCaseFold_{15.0.0}(s)","CursiveSpecification.md:1804","cursive/src/00_core/unicode.cpp:247-263 ? `CaseFold` is implemented with ICU Unicode case folding and statically pinned to Unicode 15.0"
"Phase 1 - Parse and Aggregate","complete","Cursive Language Specification > 4. Source Text and Lexical Structure > 4.1 Source Loading and Normalization > 4.1.6 NFC Normalization for Identifiers and Module Paths paragraph @1806","**Totality.**","CursiveSpecification.md:1806","n/a - heading-only organizational label; the substantive totality statement is audited in the immediately following row"
"Phase 1 - Parse and Aggregate","complete","The functions NFC and CaseFold are total on sequences of Unicode scalar values. All inputs to IdKey and PathKey MUST be ","The functions NFC and CaseFold are total on sequences of Unicode scalar values. All inputs to IdKey and PathKey MUST be Unicode scalar sequences; inputs are produced by LoadSource, which rejects invalid UTF-8.","CursiveSpecification.md:1807","cursive/src/00_core/unicode.cpp:221-263; cursive/src/00_core/source_load.cpp:232-242; cursive/src/04_analysis/resolve/scopes.cpp:171-189 ? `NFC` and `CaseFold` are total library functions over decoded UTF-8 text, and the `IdKey`/`PathKey` inputs come from source-loading and parsed path components, not invalid byte sequences"
"Phase 1 - Parse and Aggregate","complete","IdKey(s)","IdKey(s) = NFC(s)","CursiveSpecification.md:1809","cursive/src/04_analysis/resolve/scopes.cpp:171-174 ? `IdKeyOf` is defined exactly as `core::NFC(s)`"
"Phase 1 - Parse and Aggregate","complete","IdEq(s_1, s_2)","IdEq(s_1, s_2) ? IdKey(s_1) = IdKey(s_2)","CursiveSpecification.md:1810","cursive/src/04_analysis/resolve/scopes.cpp:176-179 ? `IdEq` compares identifiers by equality of `IdKeyOf`, exactly matching `IdKey(s_1) = IdKey(s_2)`"
"Phase 1 - Parse and Aggregate","complete","PathKey(p)","PathKey(p) = [NFC(c_1), ?, NFC(c_n)]","CursiveSpecification.md:1812","cursive/src/04_analysis/resolve/scopes.cpp:181-189 ? `PathKeyOf` maps each path component through `IdKeyOf`, matching `[NFC(c_1), ?, NFC(c_n)]`"
"Phase 1 - Parse and Aggregate","complete","PathEq(p, q)","PathEq(p, q) ? PathKey(p) = PathKey(q)","CursiveSpecification.md:1813","cursive/src/04_analysis/resolve/scopes.cpp:191-194 ? `PathEq` compares paths by equality of `PathKeyOf`"
"Phase 1 - Parse and Aggregate","complete","Tokenize : SourceFile ? (Token* ? DocComment*)","Tokenize : SourceFile ? (Token* ? DocComment*)","CursiveSpecification.md:1817","cursive/include/02_source/lexer/lexer.h:67-70,110-111 ? public `TokenizeResult` is now `std::optional<LexerOutput>` and `Tokenize(const SourceFile&)` has the exact partial-function surface, while diagnostics live in `TokenizeWithDiagnostics`; cursive/src/02_source/lexer/tokenize.cpp:419-461 implements `TokenizeWithDiagnostics` plus a thin `Tokenize` wrapper that returns only `.output`; cursive/src/02_source/parser/parser.cpp:263 now uses `TokenizeWithDiagnostics(source)`; HelloCursive/Compiler/RunCompilerStaticConformance.ps1:10633-10667,16504 adds and invokes `issue569_tokenize_partial_surface_conformance`"
"Phase 1 - Parse and Aggregate","complete","Tokenize(S)","Tokenize(S) = (K, D) ? LexNewline(K, S) ? LexNoComments(K, S)","CursiveSpecification.md:1818","cursive/src/02_source/lexer/tokenize.cpp:275-318,420-444 ? successful tokenization emits newline tokens during lexing and skips line/block/doc comments from the token stream while collecting docs separately"
"Phase 1 - Parse and Aggregate","complete","Depth(K, 0)","Depth(K, 0) = 0","CursiveSpecification.md:1820","cursive/src/02_source/lexer/lexer.cpp:423-428 ? the continuation-depth state starts at zero for both tracked delimiter classes, implementing the zero-depth base case"
"Phase 1 - Parse and Aggregate","complete","Depth(K, i+1)","Depth(K, i+1) = Depth(K, i) + ?(K[i])
?(t) =
 1   if t ? {Punctuator(""(""), Punctuator(""["")}
 -1  if t ? {Punctuator("")""), Punctuator(""]"")}
 0   otherwise","CursiveSpecification.md:1821-1825","cursive/src/02_source/lexer/lexer.cpp:202-210,425-433 ? `DeltaDepth` now matches the spec `?(t)` relation exactly, and the running paren/bracket depth arrays realize the same `Depth(K, i+1) = Depth(K, i) + ?(K[i])` recurrence"
"Phase 1 - Parse and Aggregate","complete","Prev(K, i)","Prev(K, i) = ? ? { j | j < i ? K[j].kind ? newline ? ? k. j < k < i ? K[k].kind ? newline } = ?","CursiveSpecification.md:1827","cursive/src/02_source/lexer/lexer.cpp:437-444 ? `prev_index[i]` is `?` exactly when no prior non-newline token exists before `i`"
"Phase 1 - Parse and Aggregate","complete","Prev(K, i)","Prev(K, i) = K[j] ? j = max{ j | j < i ? K[j].kind ? newline ? ? k. j < k < i ? K[k].kind ? newline }","CursiveSpecification.md:1828","cursive/src/02_source/lexer/lexer.cpp:437-444 ? when a prior non-newline token exists, `prev_index[i]` stores the maximal such index `j`"
"Phase 1 - Parse and Aggregate","complete","Next(K, i)","Next(K, i) = ? ? { j | j > i ? K[j].kind ? newline } = ?","CursiveSpecification.md:1829","cursive/src/02_source/lexer/lexer.cpp:446-453 ? `next_index[i]` is `?` exactly when no later non-newline token exists"
"Phase 1 - Parse and Aggregate","complete","Next(K, i)","Next(K, i) = K[j] ? j = min{ j | j > i ? K[j].kind ? newline }","CursiveSpecification.md:1830","cursive/src/02_source/lexer/lexer.cpp:446-453 ? when a later non-newline token exists, `next_index[i]` stores the minimal such index `j`"
"Phase 1 - Parse and Aggregate","complete","Ambig","Ambig = {""+"", ""-"", ""*"", ""&"", ""|""}","CursiveSpecification.md:1832","cursive/src/02_source/lexer/lexer.cpp:187-190 ? `IsAmbigOp` implements exactly `{""+"", ""-"", ""*"", ""&"", ""|""}`"
"Phase 1 - Parse and Aggregate","complete","RangeCont","RangeCont = {"".."", ""..=""}","CursiveSpecification.md:1833","cursive/src/02_source/lexer/lexer.cpp:192-194 ? `IsRangeContOp` implements exactly `{"".."", ""..=""}`"
"Phase 1 - Parse and Aggregate","complete","BeginsOperand(t)","BeginsOperand(t) ? t.kind ? {Identifier, IntLiteral, FloatLiteral, StringLiteral, CharLiteral, BoolLiteral, NullLiteral} ? (t.kind = Punctuator ? t.lexeme ? {""("", ""["", ""{""}) ? (t.kind = Operator ? t.lexeme ? {""!"", ""-"", ""&"", ""*"", ""^""}) ? (t.kind = Keyword ? t.lexeme ? {""if"", ""loop"", ""unsafe"", ""comptime"", ""quote"", ""move"", ""transmute"", ""widen"", ""parallel"", ""spawn"", ""dispatch"", ""yield"", ""sync"", ""race"", ""all""})","CursiveSpecification.md:1861","cursive/src/02_source/lexer/lexer.cpp:157-184 ? `BeginsOperand` now matches the spec row, including the approved `comptime` and `quote` keyword starters"
"Phase 1 - Parse and Aggregate","complete","UnaryOnly","UnaryOnly = {""!"", ""~"", ""?""}","CursiveSpecification.md:1835","cursive/src/02_source/lexer/lexer.cpp:196-198 ? `IsUnaryOnly` implements exactly `{""!"", ""~"", ""?""}`"
"Phase 1 - Parse and Aggregate","complete","AttrClose(t)","AttrClose(t) ? t.kind = Punctuator ? t.lexeme = ""]]""","CursiveSpecification.md:1836","cursive/src/02_source/lexer/lexer.cpp:151-153,497-505 ? the continuation filter tests attribute-close exactly as `Punctuator(""]]"" )` via `IsPunc(prev, ""]]"" )`"
"Phase 1 - Parse and Aggregate","complete","Continue(K, i)","Continue(K, i) ? Depth(K, i) > 0 ? (? t. Prev(K, i) = t ? (t.lexeme = "","" ? (t.kind = Operator ? ((((t.lexeme ? Ambig ? t.lexeme ? RangeCont) ? ? u. Next(K, i) = u ? BeginsOperand(u)) ? (t.lexeme ? UnaryOnly ? t.lexeme ? RangeCont)))))) ? (? u. Next(K, i) = u ? u.lexeme ? {""."", ""::"", ""~>""}) ? (? t, u. Prev(K, i) = t ? AttrClose(t) ? Next(K, i) = u ? BeginsOperand(u))","CursiveSpecification.md:1865","cursive/src/02_source/lexer/lexer.cpp:422-525 ? `FilterNewlines` now realizes the spec continuation relation, including the ambiguous-operator second disjunct, range-continuation next-operand gating, attribute-close continuation, and chaining punctuation"
"Phase 1 - Parse and Aggregate","complete","For `t.lexeme","For `t.lexeme ? RangeCont`, continuation across newline MUST require `Next(K, i)` to begin an operand. This permits split forms like `a .. \n b` and `.. \n b`, while allowing newline termination after complete `a ..` and `..` forms.","CursiveSpecification.md:1840","cursive/src/02_source/lexer/lexer.cpp:480-485 ? continuation after `..`/`..=` is allowed only when the next non-newline token begins an operand, exactly as the prose rule requires"
"Phase 1 - Parse and Aggregate","complete","Filter(K)","Filter(K) = [ K[i] | K[i].kind ? newline ? ? Continue(K, i) ]","CursiveSpecification.md:1869","cursive/src/02_source/lexer/lexer.cpp:422-525 ? `FilterNewlines` now drops newline tokens exactly when `Continue(K, i)` holds"
"Phase 1 - Parse and Aggregate","complete","IsTerminator(t)","IsTerminator(t) ? t = Punctuator("";"") ? t.kind = newline","CursiveSpecification.md:1844","cursive/src/02_source/parser/parser_terminator.cpp:36-39,65-107 ? statement terminators are implemented exactly as newline tokens or `;` punctuators"
"Phase 1 - Parse and Aggregate","complete","BoundaryTokens(K, i)","BoundaryTokens(K, i) = { t | t = K[i] ? t = Prev(K, i) ? t = Next(K, i) } \ {?}","CursiveSpecification.md:1845","cursive/src/02_source/lexer/lexer.cpp:437-453,458-511 ? `FilterNewlines` computes the previous non-newline token, current token, and next non-newline token exactly as the boundary-token set used by the continuation logic"
