task_id,wave,responsibility,phase_rank,shared_work_surface,atomic_surfaces,row_count,incorrect_count,missing_count,row_id_ranges,depends_on,dependency_reasons
TASK-009,1,Phase 1 - Parse and Aggregate,1,unmapped/no-compiler-location,unmapped/no-compiler-location,414,0,414,"816,819,832-834,853,858,868,893-894,898,913,920-922,928,933,936,939,942,948,951,953,956,961,963,965,973,975,980,982,985,987,991,996,998,1002,1004,1010-1011,1018,1035,1037,1045,1050,1053-1056,1061-1067,1074,1079,1085-1087,1094,1097,1099,1120,1136,1142,1147,1158,1172,1175,1181,1183,1195,1199,1224,1244-1248,1254-1257,1260,1263,1279,1287,1289,1294,1303,1305,1311,1314,1319,1322,1325,1329,1347-1348,1353,1360,1364,1369,1372,1382-1383,1389,1391,1393,1403-1405,1407,1409,1483,1491,1528,1533-1534,1606-1607,1662,1768,1833,1844,1859,1895,1901,1935-1939,1944,1957-1958,1963,1985-1986,1989,1999,2002-2008,2011-2013,2015,2017-2019,2026-2035,2038,2043-2044,2061,2065,2072,2079-2080,2123,2244,2371,2397,2405,2492,2500,2513-2514,2519-2520,2538-2539,2558-2559,2617-2620,2635,2661-2662,2672-2674,2676-2679,2682-2683,2688-2699,2709-2712,2717,2719-2720,2722-2723,2725-2727,2733-2735,2739,2743-2758,2761-2767,2774-2781,2801-2804,2824-2825,2838-2843,2926,2937,2945-2946,2948-2949,2951,2955-2964,2967,2970-2987,2989-2994,3009-3026,3030,3032,3034-3051,3053-3065,3070-3071,3079-3085,3089,3091-3102,3106-3107,3111-3117,3119-3120,3124-3125,3127,3135-3136,3148-3149,3152,3159,3207,3267",TASK-001,TASK-001:phase-prerequisite/exact-surface
TASK-010,1,Phase 1 - Parse and Aggregate,1,compiler/04_analysis,compiler/04_analysis,107,102,5,"988,992,994,1455,1478-1479,1485-1486,1488,1524,1526-1527,1710,1750-1751,1777,1788-1790,1795-1799,1801,1814,1825-1826,1940,2009-2010,2063,2078,2081-2083,2087,2089,2095-2097,2099-2100,2103,2108,2129-2135,2155-2156,2183,2187,2192,2196,2270-2271,2284-2285,2288,2381-2382,2503,2507-2509,2511-2512,2515,2553,2555,2557,2590,2599-2600,2659-2660,2663-2671,2675,2680-2681,2701,2732,2740-2742,2768-2769,2772-2773,2800,2837,2846,2930,3000,3151",TASK-005,TASK-005:phase-prerequisite/exact-surface
TASK-012,1,Phase 1 - Parse and Aggregate,1,compiler/00_core,compiler/00_core,20,20,0,"822-824,864,900-901,904-912,916,960,983,986,1320",TASK-004,TASK-004:phase-prerequisite/exact-surface
TASK-014,1,Phase 1 - Parse and Aggregate,1,compiler/01_project,compiler/01_project,4,4,0,"3150,3213-3215",TASK-003,TASK-003:phase-prerequisite/exact-surface
TASK-032,1,Phase 3 - Resolve and Typecheck,3,compiler/05_codegen,compiler/05_codegen,16,16,0,"4150,4152,4154,4157,4160,4609-4610,4615,4861,5208-5209,5237,6356,6527,6619,6631",TASK-013,TASK-013:phase-prerequisite/exact-surface
TASK-038,1,Phase 3 - Resolve and Typecheck,3,runtime/src/concurrency,runtime/src/concurrency,2,2,0,"6272,6277",TASK-020,TASK-020:phase-prerequisite/exact-surface
TASK-045,1,Phase 4 - Lower and Emit,4,compiler/01_project,compiler/01_project,40,40,0,"6683,6687,6700,6707,6711-6712,6715,6736-6737,6742-6744,6751-6752,6787,6795,6797-6798,6800,6802,6804,6806,6809-6810,6814-6817,6820-6821,6823,6825,6832,6838-6839,6843,6845,7924-7925,7929",TASK-003,TASK-003:phase-prerequisite/exact-surface
TASK-078,1,Runtime / Non-Compilation Semantics,5,runtime/include + runtime/src/internal + runtime/src/io,runtime/include + runtime/src/internal + runtime/src/io,5,5,0,"8981-8984,8991",TASK-075,TASK-075:same-phase/integration-after-component-fixes
TASK-084,1,Runtime / Non-Compilation Semantics,5,runtime/include + runtime/src/io,runtime/include + runtime/src/io,3,3,0,"8910,8951-8952",TASK-075,TASK-075:same-phase/integration-after-component-fixes
TASK-085,1,Runtime / Non-Compilation Semantics,5,runtime/src/internal + runtime/src/io,runtime/src/internal + runtime/src/io,3,3,0,"8904,8992,8994",TASK-075,TASK-075:same-phase/integration-after-component-fixes
TASK-102,1,Runtime / Non-Compilation Semantics,5,runtime/src/context,runtime/src/context,1,1,0,10233,TASK-059,TASK-059:phase-prerequisite/exact-surface
TASK-011,2,Phase 1 - Parse and Aggregate,1,compiler/02_source + compiler/04_analysis,compiler/02_source + compiler/04_analysis,32,32,0,"1484,1487,1489,1506-1507,1510-1512,1516,1518,1525,1709,2122,2685-2686,3007,3028-3029,3052,3072,3090,3160-3168,3180-3181","TASK-006,TASK-008,TASK-010",TASK-006:phase-prerequisite/exact-surface; TASK-008:same-phase/integration-after-component-fixes; TASK-010:same-phase/integration-after-component-fixes
TASK-015,2,Phase 1 - Parse and Aggregate,1,compiler/00_core + compiler/02_source,compiler/00_core + compiler/02_source,3,3,0,"835,932,1321","TASK-002,TASK-004,TASK-008,TASK-012",TASK-004:phase-prerequisite/component-surface; TASK-002:phase-prerequisite/component-surface; TASK-012:same-phase/integration-after-component-fixes; TASK-008:same-phase/integration-after-component-fixes
TASK-016,2,Phase 1 - Parse and Aggregate,1,compiler/00_core + compiler/04_analysis,compiler/00_core + compiler/04_analysis,2,2,0,"1494,1496","TASK-004,TASK-005,TASK-010,TASK-012",TASK-004:phase-prerequisite/component-surface; TASK-005:phase-prerequisite/component-surface; TASK-012:same-phase/integration-after-component-fixes; TASK-010:same-phase/integration-after-component-fixes
TASK-017,2,Phase 1 - Parse and Aggregate,1,compiler/01_project + compiler/04_analysis,compiler/01_project + compiler/04_analysis,1,1,0,1410,"TASK-003,TASK-005,TASK-010,TASK-014",TASK-003:phase-prerequisite/component-surface; TASK-005:phase-prerequisite/component-surface; TASK-014:same-phase/integration-after-component-fixes; TASK-010:same-phase/integration-after-component-fixes
TASK-018,2,Phase 1 - Parse and Aggregate,1,compiler/02_source + compiler/05_codegen,compiler/02_source + compiler/05_codegen,1,1,0,2634,"TASK-002,TASK-008,TASK-013",TASK-002:phase-prerequisite/component-surface; TASK-008:same-phase/integration-after-component-fixes; TASK-013:same-phase/integration-after-component-fixes
TASK-019,2,Phase 1 - Parse and Aggregate,1,compiler/04_analysis + compiler/05_codegen,compiler/04_analysis + compiler/05_codegen,1,1,0,2062,"TASK-005,TASK-010,TASK-013",TASK-005:phase-prerequisite/component-surface; TASK-010:same-phase/integration-after-component-fixes; TASK-013:same-phase/integration-after-component-fixes
TASK-021,2,Phase 2 - ExecuteComptime,2,compiler/00_core + compiler/03_comptime + compiler/04_analysis,compiler/00_core + compiler/03_comptime + compiler/04_analysis,135,0,135,"3376-3390,3393-3394,3396,3398-3399,3405-3409,3411,3433,3435-3439,3442-3449,3464-3465,3467-3469,3471,3475-3476,3478,3480,3482-3486,3488,3490-3494,3496,3502-3505,3507-3516,3518-3519,3523,3533-3534,3536-3538,3548-3562,3564-3568,3571-3573,3576-3581,3584-3586,3588-3589,3591-3593,3597-3605,3608-3612","TASK-001,TASK-009",TASK-001:phase-prerequisite/exact-surface; TASK-009:phase-prerequisite/exact-surface
TASK-022,2,Phase 2 - ExecuteComptime,2,compiler/02_source,compiler/02_source,44,44,0,"3391,3401-3403,3410,3416,3418-3419,3421-3424,3426,3431-3432,3434,3440-3441,3457-3459,3461-3462,3466,3470,3477,3489,3495,3501,3506,3520-3522,3525,3532,3535,3540,3542-3545,3547,3582,3594","TASK-002,TASK-008",TASK-002:phase-prerequisite/exact-surface; TASK-008:phase-prerequisite/exact-surface
TASK-023,2,Phase 2 - ExecuteComptime,2,compiler/04_analysis,compiler/04_analysis,11,11,0,"3372,3392,3397,3499-3500,3563,3569-3570,3590,3595,3606","TASK-005,TASK-010",TASK-005:phase-prerequisite/exact-surface; TASK-010:phase-prerequisite/exact-surface
TASK-037,2,Phase 3 - Resolve and Typecheck,3,compiler/05_codegen + runtime/src/concurrency,compiler/05_codegen + runtime/src/concurrency,2,2,0,"5937,5939","TASK-013,TASK-020,TASK-032,TASK-038",TASK-013:phase-prerequisite/component-surface; TASK-020:phase-prerequisite/component-surface; TASK-032:same-phase/integration-after-component-fixes; TASK-038:same-phase/integration-after-component-fixes
TASK-039,2,Phase 3 - Resolve and Typecheck,3,compiler/00_core,compiler/00_core,1,1,0,4391,"TASK-004,TASK-012",TASK-004:phase-prerequisite/exact-surface; TASK-012:phase-prerequisite/exact-surface
TASK-043,2,Phase 4 - Lower and Emit,4,compiler/05_codegen,compiler/05_codegen,333,312,21,"6872,6886-6887,6904-6905,6917,6936,6939-6944,6971-6973,6975,6977-6981,6986,7001-7003,7005-7008,7019-7020,7083-7084,7099,7102,7107,7121-7124,7129,7138,7144,7161,7177,7184-7185,7217,7227,7232,7242-7243,7253,7255-7257,7259-7260,7265,7286,7312,7325-7327,7332-7334,7336-7338,7340,7342,7347,7353-7356,7360-7361,7365,7368-7370,7387-7390,7397,7399-7401,7416,7420-7427,7432,7437,7439,7441-7442,7450,7455,7459,7461,7466,7469-7471,7474-7493,7499-7500,7567,7588,7593-7600,7607,7686,7700-7702,7704,7786-7787,7791,7800,7871-7872,7938,7948,7950-7952,7954,7989-7990,8001-8002,8005,8007-8008,8016,8047,8052,8085,8095-8096,8099,8102-8104,8109,8113,8123,8127-8128,8141-8142,8168,8178,8182,8184,8196,8201-8202,8213-8215,8232-8233,8235,8237-8238,8240-8241,8245,8247-8250,8252,8264,8272-8274,8277-8278,8280-8281,8286,8289,8300-8302,8313,8397,8419-8420,8422,8460,8475,8477-8482,8484-8486,8493,8503,8525,8528,8537,8539-8540,8543,8553,8558-8559,8564-8566,8574-8577,8584,8586-8587,8592,8595-8598,8601,8603,8605-8607,8610-8611,8613-8614,8616-8618,8623-8624,8626,8628-8630,8633,8635-8639,8642-8647,8656-8664,8676-8677,8683,8688-8689,8701-8704,8709-8711,8718-8719,8721-8722,8724,8729,8731,8733-8735,8737,8745-8746,8757-8759",TASK-032,TASK-032:phase-prerequisite/exact-surface
TASK-056,2,Phase 4 - Lower and Emit,4,compiler/01_project + compiler/06_driver,compiler/01_project + compiler/06_driver,2,2,0,"6767,7804","TASK-007,TASK-045,TASK-066",TASK-007:phase-prerequisite/exact-surface; TASK-045:same-phase/integration-after-component-fixes; TASK-066:same-phase/integration-after-component-fixes
TASK-073,2,Runtime / Non-Compilation Semantics,5,runtime/src/concurrency,runtime/src/concurrency,28,26,2,"10190,10198,10213,10230,10242,10244,10251,10268,10271,10273-10275,10282,10287,10289-10291,10307-10308,10313-10316,10327-10328,10331-10332,10334",TASK-038,TASK-038:phase-prerequisite/exact-surface
TASK-103,2,Runtime / Non-Compilation Semantics,5,runtime/src/context + runtime/src/internal + runtime/src/io,runtime/src/context + runtime/src/internal + runtime/src/io,1,1,0,8822,"TASK-059,TASK-075,TASK-102",TASK-059:phase-prerequisite/component-surface; TASK-102:same-phase/integration-after-component-fixes; TASK-075:same-phase/integration-after-component-fixes
TASK-024,3,Phase 2 - ExecuteComptime,2,compiler/02_source + compiler/04_analysis,compiler/02_source + compiler/04_analysis,9,9,0,"3370-3371,3373,3375,3395,3456,3460,3481,3517","TASK-006,TASK-011,TASK-022,TASK-023",TASK-006:phase-prerequisite/exact-surface; TASK-011:phase-prerequisite/exact-surface; TASK-022:same-phase/integration-after-component-fixes; TASK-023:same-phase/integration-after-component-fixes
TASK-025,3,Phase 2 - ExecuteComptime,2,compiler/00_core + compiler/04_analysis,compiler/00_core + compiler/04_analysis,1,1,0,3587,"TASK-004,TASK-005,TASK-016,TASK-023",TASK-004:phase-prerequisite/component-surface; TASK-005:phase-prerequisite/component-surface; TASK-016:phase-prerequisite/exact-surface; TASK-023:same-phase/integration-after-component-fixes
TASK-026,3,Phase 2 - ExecuteComptime,2,compiler/04_analysis + compiler/05_codegen,compiler/04_analysis + compiler/05_codegen,1,1,0,3455,"TASK-005,TASK-019,TASK-023",TASK-005:phase-prerequisite/component-surface; TASK-019:phase-prerequisite/exact-surface; TASK-023:same-phase/integration-after-component-fixes
TASK-027,3,Phase 3 - Resolve and Typecheck,3,compiler/04_analysis,compiler/04_analysis,504,483,21,"3614,3620,3627-3629,3645-3646,3656,3660,3666,3669,3675,3677,3681,3692,3698,3703,3705-3706,3719,3722-3723,3761,3769-3770,3779,3787,3810-3811,3818-3820,3850,3865,3914,3916,3947,3954,3963,3973,3977-3979,3981,3983,4001,4009,4023-4026,4033-4034,4037-4038,4054-4055,4057-4060,4062,4064-4066,4105,4107-4110,4118,4120,4122,4125-4126,4129-4131,4183,4187,4205-4207,4209-4211,4225-4226,4238,4249,4252-4253,4256-4257,4259,4261-4262,4265-4266,4268,4270-4272,4280,4289,4297-4298,4305,4307,4310,4325,4333,4344,4565,4573,4578-4579,4581,4591-4595,4621-4622,4624-4625,4696-4697,4700-4701,4711-4713,4725-4726,4748,4755,4757,4759,4769-4770,4780,4782-4788,4814-4819,4828,4831,4840,4849,4854-4857,4859-4860,4864,4868-4870,4906,4917,4922,4928-4929,4932,5003-5009,5018-5021,5024-5026,5028-5029,5032,5034-5039,5056,5074,5105-5106,5108-5109,5112-5117,5119-5121,5123-5125,5128-5129,5131,5134,5144-5145,5147-5148,5152,5156-5157,5159,5164,5170,5197-5198,5230,5241,5246,5248,5257-5259,5264,5266-5267,5271,5277-5278,5280,5285,5287-5288,5298,5300,5304,5308-5309,5314-5315,5320,5323,5325,5343,5350-5352,5363,5368,5370,5373-5376,5384,5403-5407,5418,5432,5435-5437,5439-5440,5443-5444,5452-5459,5464-5468,5471,5530,5548,5552-5554,5574,5587,5601,5605-5607,5610-5618,5622-5623,5628,5653-5654,5659-5660,5664-5666,5672,5675-5677,5682-5686,5690-5692,5701-5703,5708,5711,5713,5721,5731,5735,5737,5740-5743,5748,5804,5840-5841,5849,5857-5858,5861-5862,5864-5865,5874,5876,5886,5894,5930-5931,5934,5938,5940-5941,5943,5949,5970-5971,5978,5985,5987,5994,6002-6004,6007,6023-6024,6026-6029,6033-6034,6041,6043-6045,6056,6060,6064-6067,6080,6086-6087,6090,6095,6108,6112,6120,6124,6136,6138-6139,6142-6143,6155-6159,6161-6163,6167-6171,6173,6175-6176,6179,6181-6182,6186-6187,6189,6192,6195,6198-6203,6206,6208,6212-6213,6223-6225,6227,6245,6248,6251-6252,6256-6257,6278,6281-6283,6285,6287,6307,6336,6339,6343,6357-6359,6368,6372-6376,6379,6440,6454-6455,6457,6464-6468,6476,6494,6533,6584,6590,6598,6603,6666,6668,6671","TASK-005,TASK-010,TASK-023",TASK-005:phase-prerequisite/exact-surface; TASK-010:phase-prerequisite/exact-surface; TASK-023:phase-prerequisite/exact-surface
TASK-028,3,Phase 3 - Resolve and Typecheck,3,unmapped/no-compiler-location,unmapped/no-compiler-location,238,0,238,"3613,3626,3699,3707-3710,3718,3726-3730,3750-3751,3783-3785,3801,3821,3845,3882-3883,3886-3887,3891,3900,3905,3911,3917,3923,3926,3937,3951,3961-3962,3966,3972,3976,3980,3984,4068,4074,4123-4124,4138,4144,4148,4212-4213,4216,4220,4227-4228,4250,4254,4258,4267,4269,4290,4296,4349,4355-4357,4364,4371-4372,4374,4384,4392,4401,4413,4422,4430,4458,4464,4544-4547,4608,4611-4612,4614,4765-4768,5022-5023,5030-5031,5111,5127,5140-5142,5226-5229,5235-5236,5243,5261,5268,5306,5328-5341,5395-5397,5400,5412-5415,5417,5421-5422,5469-5470,5503-5506,5527-5529,5693,5695-5697,5828,5859,5947,5950-5951,5954,5957,5968-5969,5972-5977,5981-5983,5986,5988,6001,6005-6006,6008,6011-6012,6019-6021,6035-6040,6046-6052,6055,6057-6059,6061,6068-6070,6073-6076,6078,6088,6091,6093,6096,6098-6099,6101,6105-6106,6110-6111,6135,6149-6150,6172,6177,6184-6185,6188,6197,6205,6211,6228-6234,6244,6250,6259,6360,6365,6528,6620,6643","TASK-001,TASK-009,TASK-021",TASK-001:phase-prerequisite/exact-surface; TASK-009:phase-prerequisite/exact-surface; TASK-021:phase-prerequisite/exact-surface
TASK-035,3,Phase 3 - Resolve and Typecheck,3,compiler/02_source,compiler/02_source,2,2,0,4403-4404,"TASK-002,TASK-008,TASK-022",TASK-002:phase-prerequisite/exact-surface; TASK-008:phase-prerequisite/exact-surface; TASK-022:phase-prerequisite/exact-surface
TASK-041,3,Phase 3 - Resolve and Typecheck,3,compiler/00_core + compiler/05_codegen,compiler/00_core + compiler/05_codegen,1,1,0,5495,"TASK-004,TASK-012,TASK-013,TASK-032,TASK-039",TASK-004:phase-prerequisite/component-surface; TASK-012:phase-prerequisite/component-surface; TASK-013:phase-prerequisite/component-surface; TASK-039:same-phase/integration-after-component-fixes; TASK-032:same-phase/integration-after-component-fixes
TASK-042,3,Phase 3 - Resolve and Typecheck,3,compiler/00_core + runtime/src/concurrency,compiler/00_core + runtime/src/concurrency,1,1,0,6276,"TASK-004,TASK-012,TASK-020,TASK-038,TASK-039",TASK-004:phase-prerequisite/component-surface; TASK-012:phase-prerequisite/component-surface; TASK-020:phase-prerequisite/component-surface; TASK-039:same-phase/integration-after-component-fixes; TASK-038:same-phase/integration-after-component-fixes
TASK-048,3,Phase 4 - Lower and Emit,4,compiler/05_codegen + compiler/06_driver,compiler/05_codegen + compiler/06_driver,7,7,0,"6761-6764,7546,7559,7808","TASK-032,TASK-043,TASK-066",TASK-032:phase-prerequisite/component-surface; TASK-043:same-phase/integration-after-component-fixes; TASK-066:same-phase/integration-after-component-fixes
TASK-050,3,Phase 4 - Lower and Emit,4,compiler/05_codegen + runtime/src/concurrency,compiler/05_codegen + runtime/src/concurrency,4,4,0,"7447-7448,8450-8451","TASK-037,TASK-043",TASK-037:phase-prerequisite/exact-surface; TASK-043:same-phase/integration-after-component-fixes
TASK-054,3,Phase 4 - Lower and Emit,4,compiler/00_core,compiler/00_core,2,2,0,"6784,8012","TASK-004,TASK-039",TASK-004:phase-prerequisite/exact-surface; TASK-039:phase-prerequisite/exact-surface
TASK-055,3,Phase 4 - Lower and Emit,4,compiler/01_project + compiler/05_codegen,compiler/01_project + compiler/05_codegen,2,2,0,"7803,7806","TASK-003,TASK-032,TASK-043,TASK-045",TASK-003:phase-prerequisite/component-surface; TASK-032:phase-prerequisite/component-surface; TASK-045:same-phase/integration-after-component-fixes; TASK-043:same-phase/integration-after-component-fixes
TASK-058,3,Phase 4 - Lower and Emit,4,compiler/05_codegen + runtime/include,compiler/05_codegen + runtime/include,2,2,0,7451-7452,"TASK-032,TASK-043",TASK-032:phase-prerequisite/component-surface; TASK-043:same-phase/integration-after-component-fixes
TASK-062,3,Phase 4 - Lower and Emit,4,compiler/01_project + compiler/05_codegen + compiler/06_driver,compiler/01_project + compiler/05_codegen + compiler/06_driver,1,1,0,7591,"TASK-003,TASK-032,TASK-043,TASK-045,TASK-066",TASK-003:phase-prerequisite/component-surface; TASK-032:phase-prerequisite/component-surface; TASK-045:same-phase/integration-after-component-fixes; TASK-043:same-phase/integration-after-component-fixes; TASK-066:same-phase/integration-after-component-fixes
TASK-064,3,Phase 4 - Lower and Emit,4,compiler/05_codegen + runtime/src/context,compiler/05_codegen + runtime/src/context,1,1,0,8231,"TASK-032,TASK-043,TASK-059",TASK-032:phase-prerequisite/component-surface; TASK-043:same-phase/integration-after-component-fixes; TASK-059:same-phase/integration-after-component-fixes
TASK-065,3,Phase 4 - Lower and Emit,4,compiler/05_codegen + runtime/src/core,compiler/05_codegen + runtime/src/core,1,1,0,6859,"TASK-032,TASK-043",TASK-032:phase-prerequisite/component-surface; TASK-043:same-phase/integration-after-component-fixes
TASK-067,3,Runtime / Non-Compilation Semantics,5,compiler/05_codegen,compiler/05_codegen,230,100,130,"8838,8840,8845,9339,9342-9344,9348,9350,9354-9360,9362-9375,9377-9390,9421,9423,9450,9452,9454,9457,9463-9464,9468-9472,9474-9480,9485,9488,9496-9497,9506,9520,9688,9690-9691,9702-9704,9711-9712,9715,9725-9726,9744,9756-9757,9766,9768-9769,9772,9781,9810,9847,9860,9863,9871,9888,9892-9893,9896-9897,9899,9902-9903,9923-9928,9939,9941-9945,9949,9959-9960,9969-9974,9976-9979,9999,10015-10018,10037,10040,10042-10044,10052,10077-10079,10088,10090,10092,10096-10101,10103-10105,10107-10108,10123,10134,10138-10140,10143-10145,10164,10166-10172,10175,10177-10178,10184,10215,10283,10312,10341,10375,10378,10380,10382-10386,10388-10396,10398,10402-10403,10407-10408,10411,10416-10441,10443,10445","TASK-032,TASK-043",TASK-032:phase-prerequisite/exact-surface; TASK-043:phase-prerequisite/exact-surface
TASK-099,3,Runtime / Non-Compilation Semantics,5,runtime/src/concurrency + runtime/src/context,runtime/src/concurrency + runtime/src/context,1,1,0,10232,"TASK-038,TASK-059,TASK-073,TASK-102",TASK-038:phase-prerequisite/component-surface; TASK-059:phase-prerequisite/component-surface; TASK-073:same-phase/integration-after-component-fixes; TASK-102:same-phase/integration-after-component-fixes
TASK-100,3,Runtime / Non-Compilation Semantics,5,runtime/src/concurrency + runtime/src/context + runtime/src/internal + runtime/src/io + runtime/src/network,runtime/src/concurrency + runtime/src/context + runtime/src/internal + runtime/src/io + runtime/src/network,1,1,0,8827,"TASK-038,TASK-059,TASK-073,TASK-075,TASK-102",TASK-038:phase-prerequisite/component-surface; TASK-059:phase-prerequisite/component-surface; TASK-073:same-phase/integration-after-component-fixes; TASK-102:same-phase/integration-after-component-fixes; TASK-075:same-phase/integration-after-component-fixes
TASK-101,3,Runtime / Non-Compilation Semantics,5,runtime/src/concurrency + runtime/src/context + runtime/src/io + runtime/src/network,runtime/src/concurrency + runtime/src/context + runtime/src/io + runtime/src/network,1,1,0,8823,"TASK-038,TASK-059,TASK-073,TASK-075,TASK-102",TASK-038:phase-prerequisite/component-surface; TASK-059:phase-prerequisite/component-surface; TASK-073:same-phase/integration-after-component-fixes; TASK-102:same-phase/integration-after-component-fixes; TASK-075:same-phase/integration-after-component-fixes
