"implemented","rule name","rule content","spec location","compiler location"
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @39","- `18. Statements and Blocks`","CursiveSpecification.md:39",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @40","- `19. Key System`","CursiveSpecification.md:40",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @41","- `20. Structured Parallelism`","CursiveSpecification.md:41",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @42","- `21. Asynchronous Operations`","CursiveSpecification.md:42",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @43","- `22. Compile-Time Execution and Metaprogramming`","CursiveSpecification.md:43",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @44","- `23. Foreign Function Interface`","CursiveSpecification.md:44",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @45","- `24. Common Lowering, Program Lifecycle, and Backend`","CursiveSpecification.md:45",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @46","- `Appendix A. Diagnostic Index Reference`","CursiveSpecification.md:46",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @47","- `Appendix B. Complete Grammar Reference`","CursiveSpecification.md:47",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @48","- `Appendix C. AST Form Index Reference`","CursiveSpecification.md:48",""
"","Cursive Language Specification > 0. Front Matter > 0.2 Canonical Chapter Outline bullet @49","- `Appendix D. Layout, ABI, and Runtime Reference`","CursiveSpecification.md:49",""
"","`Syntax`","Subsection=`Syntax` | Required Content=Concrete grammar and surface-form restrictions","CursiveSpecification.md:55",""
"","`Parsing`","Subsection=`Parsing` | Required Content=Parse entry points, disambiguation, recovery, feature-local parse constraints","CursiveSpecification.md:56",""
"","`AST Representation / Form`","Subsection=`AST Representation / Form` | Required Content=AST forms, invariants, normalized forms","CursiveSpecification.md:57",""
"","`Static Semantics`","Subsection=`Static Semantics` | Required Content=Well-formedness, resolution, typing, admissibility, compile-time rejection","CursiveSpecification.md:58",""
"","`Dynamic Semantics`","Subsection=`Dynamic Semantics` | Required Content=Abstract-machine behavior, runtime transitions, observable effects","CursiveSpecification.md:59",""
"","`Lowering`","Subsection=`Lowering` | Required Content=Feature-local IR, ABI, layout, and backend mapping rules","CursiveSpecification.md:60",""
"","`Diagnostics`","Subsection=`Diagnostics` | Required Content=Diagnostic conditions owned by the feature section","CursiveSpecification.md:61",""
"","Cursive Language Specification > 1. Conformance and Notation > 1.1 Conformance paragraph @67","**Conforming.**","CursiveSpecification.md:67",""
"","Conforming(P)","Conforming(P) ⇔ WF(P)","CursiveSpecification.md:68",""
"","Cursive Language Specification > 1. Conformance and Notation > 1.1 Conformance paragraph @70","**WF.**","CursiveSpecification.md:70",""
"","WF(P)","WF(P) ⇔ ∃ Γ. Project(Γ) = P ∧ ∀ j ∈ ReqJudgments(P). Γ ⊢ j ⇓ ok","CursiveSpecification.md:71",""
"","Cursive Language Specification > 1. Conformance and Notation > 1.1 Conformance paragraph @73","**ReqJudgments.**","CursiveSpecification.md:73",""
"","ReqJudgments(P)","ReqJudgments(P) = [Phase1Order(P), Phase2Order(P), Phase3Order(P), Phase4Order(P)]","CursiveSpecification.md:74",""
"","Cursive Language Specification > 1. Conformance and Notation > 1.1 Conformance paragraph @76","**Phase1Order.**","CursiveSpecification.md:76",""
"","Γ","Γ ⊢ Phase1Order(P) ⇓ ok ⇔ ∃ Ms. Γ ⊢ ParseModules(P) ⇓ Ms","CursiveSpecification.md:77",""
"","Cursive Language Specification > 1. Conformance and Notation > 1.1 Conformance paragraph @79","**Phase2Order.**","CursiveSpecification.md:79",""
"","Γ","Γ ⊢ Phase2Order(P) ⇓ ok ⇔ ∃ Ms, Ms_ct. Γ ⊢ ParseModules(P) ⇓ Ms ∧ Γ ⊢ ExecuteComptime(P, Ms) ⇓ Ms_ct","CursiveSpecification.md:80",""
"","Phase3Checks(P, Ms_ct, Ms_res)","Phase3Checks(P, Ms_ct, Ms_res) = [Γ_ct ⊢ ResolveModules(P_ct) ⇓ Ms_res, Γ_res ⊢ DeclTyping(Ms_res) ⇓ ok, Γ_res ⊢ MainCheck(P_res) ⇓ ok]
 where
  P_ct = ProjectView(P, Ms_ct)
  Γ_ct = Γ[project ↦ P_ct]
  P_res = ProjectView(P, Ms_res)
  Γ_res = Γ[project ↦ P_res]","CursiveSpecification.md:82-87",""
"","Phase3Order(P)","Phase3Order(P) ⇔ ∃ Ms, Ms_ct, Ms_res. Γ ⊢ ParseModules(P) ⇓ Ms ∧ Γ ⊢ ExecuteComptime(P, Ms) ⇓ Ms_ct ∧ FirstFail(Phase3Checks(P, Ms_ct, Ms_res)) = ⊥","CursiveSpecification.md:88",""
"","Cursive Language Specification > 1. Conformance and Notation > 1.1 Conformance paragraph @90","**Phase4Order.**","CursiveSpecification.md:90",""
"","Γ","Γ ⊢ Phase4Order(P) ⇓ ok ⇔ ∃ Ms, Ms_ct, Ms_res, Objs, IRs, Artifact. Γ ⊢ ParseModules(P) ⇓ Ms ∧ Γ ⊢ ExecuteComptime(P, Ms) ⇓ Ms_ct ∧ FirstFail(Phase3Checks(P, Ms_ct, Ms_res)) = ⊥ ∧ P_res = ProjectView(P, Ms_res) ∧ Γ_res = Γ[project ↦ P_res] ∧ Γ_res ⊢ OutputPipeline(P_res) ⇓ (Objs, IRs, Artifact)","CursiveSpecification.md:91",""
"","Cursive Language Specification > 1. Conformance and Notation > 1.1 Conformance paragraph @93","**Constructs.**","CursiveSpecification.md:93",""
"","TypeNodes(P, m)","TypeNodes(P, m) = { t | t ∈ Type ∧ Subnode(ASTModule(P, m), t) }","CursiveSpecification.md:94",""
"","StmtNodes(P, m)","StmtNodes(P, m) = { s | s ∈ Stmt ∧ Subnode(ASTModule(P, m), s) }","CursiveSpecification.md:95",""
"","ItemKind(UsingDecl(_, _, _, _, _))","ItemKind(UsingDecl(_, _, _, _, _)) = `using_decl`","CursiveSpecification.md:97",""
"","ItemKind(ProcedureDecl(_, _, _, _, _, _, _, _, _, _, _))","ItemKind(ProcedureDecl(_, _, _, _, _, _, _, _, _, _, _)) = `procedure`","CursiveSpecification.md:98",""
"","ItemKind(RecordDecl(_, _, _, _, _, _, _, _, _, _))","ItemKind(RecordDecl(_, _, _, _, _, _, _, _, _, _)) = `record`","CursiveSpecification.md:99",""
"","ItemKind(EnumDecl(_, _, _, _, _, _, _, _, _, _))","ItemKind(EnumDecl(_, _, _, _, _, _, _, _, _, _)) = `enum`","CursiveSpecification.md:100",""
"","ItemKind(ModalDecl(_, _, _, _, _, _, _, _, _, _))","ItemKind(ModalDecl(_, _, _, _, _, _, _, _, _, _)) = `modal`","CursiveSpecification.md:101",""
"","ItemKind(ClassDecl(_, _, _, _, _, _, _, _, _, _))","ItemKind(ClassDecl(_, _, _, _, _, _, _, _, _, _)) = `class`","CursiveSpecification.md:102",""
"","ItemKind(TypeAliasDecl(_, _, _, _, _, _, _, _))","ItemKind(TypeAliasDecl(_, _, _, _, _, _, _, _)) = `type_alias`","CursiveSpecification.md:103",""
"","ItemKind(StaticDecl(_, _, _, _, _, _))","ItemKind(StaticDecl(_, _, _, _, _, _)) = `static_decl`","CursiveSpecification.md:104",""
"","ItemKind(_)","ItemKind(_) = ⊥","CursiveSpecification.md:105",""
"","TopDeclConstructs(P)","TopDeclConstructs(P) = { ItemKind(it) | m ∈ P.modules ∧ it ∈ ASTModule(P, m).items ∧ ItemKind(it) ≠ ⊥ }","CursiveSpecification.md:107",""
"","TypeCtor(TypePerm(_, base))","TypeCtor(TypePerm(_, base)) = TypeCtor(base)","CursiveSpecification.md:109",""
"","TypeCtor(TypePrim(name))","TypeCtor(TypePrim(name)) = {name}","CursiveSpecification.md:110",""
"","TypeCtor(TypeTuple(elems))","TypeCtor(TypeTuple(elems)) = {`tuple`} ∪ ⋃_{t ∈ elems} TypeCtor(t)","CursiveSpecification.md:111",""
"","TypeCtor(TypeArray(elem, _))","TypeCtor(TypeArray(elem, _)) = {`array`} ∪ TypeCtor(elem)","CursiveSpecification.md:112",""
"","TypeCtor(TypeSlice(elem))","TypeCtor(TypeSlice(elem)) = {`slice`} ∪ TypeCtor(elem)","CursiveSpecification.md:113",""
"","TypeCtor(TypeUnion(members))","TypeCtor(TypeUnion(members)) = {`union`} ∪ ⋃_{t ∈ members} TypeCtor(t)","CursiveSpecification.md:114",""
"","TypeCtor(TypeFunc(params, ret))","TypeCtor(TypeFunc(params, ret)) = {`function`} ∪ ⋃_{⟨_, t⟩ ∈ params} TypeCtor(t) ∪ TypeCtor(ret)","CursiveSpecification.md:115",""
"","TypeCtor(TypeApply(path, _))","TypeCtor(TypeApply(path, _)) = TypeCtor(TypePath(path))","CursiveSpecification.md:116",""
"","TypeCtor(TypePtr(elem, _))","TypeCtor(TypePtr(elem, _)) = {`ptr`} ∪ TypeCtor(elem)","CursiveSpecification.md:117",""
"","TypeCtor(TypeRawPtr(_, elem))","TypeCtor(TypeRawPtr(_, elem)) = {`rawptr`} ∪ TypeCtor(elem)","CursiveSpecification.md:118",""
"","TypeCtor(TypeString(_))","TypeCtor(TypeString(_)) = {`string`}","CursiveSpecification.md:119",""
"","TypeCtor(TypeBytes(_))","TypeCtor(TypeBytes(_)) = {`bytes`}","CursiveSpecification.md:120",""
"","TypeCtor(TypeDynamic(_))","TypeCtor(TypeDynamic(_)) = {`dyn_class`}","CursiveSpecification.md:121",""
"","TypeCtor(TypeOpaque(_))","TypeCtor(TypeOpaque(_)) = {`opaque`}","CursiveSpecification.md:122",""
"","TypeCtor(TypeRefine(base, _))","TypeCtor(TypeRefine(base, _)) = {`refinement`} ∪ TypeCtor(base)","CursiveSpecification.md:123",""
"","TypeCtor(TypeModalState(_, _))","TypeCtor(TypeModalState(_, _)) = {`modal`}","CursiveSpecification.md:124",""
"","TypeCtor(TypeRange(base))","TypeCtor(TypeRange(base)) = {`range`} ∪ TypeCtor(base)","CursiveSpecification.md:125",""
"","TypeCtor(TypeRangeInclusive(base))","TypeCtor(TypeRangeInclusive(base)) = {`range_inclusive`} ∪ TypeCtor(base)","CursiveSpecification.md:126",""
"","TypeCtor(TypeRangeFrom(base))","TypeCtor(TypeRangeFrom(base)) = {`range_from`} ∪ TypeCtor(base)","CursiveSpecification.md:127",""
"","TypeCtor(TypeRangeTo(base))","TypeCtor(TypeRangeTo(base)) = {`range_to`} ∪ TypeCtor(base)","CursiveSpecification.md:128",""
"","TypeCtor(TypeRangeToInclusive(base))","TypeCtor(TypeRangeToInclusive(base)) = {`range_to_inclusive`} ∪ TypeCtor(base)","CursiveSpecification.md:129",""
"","TypeCtor(TypeRangeFull)","TypeCtor(TypeRangeFull) = {`range_full`}","CursiveSpecification.md:130",""
"","TypeCtor(TypeClosure(params, ret, _))","TypeCtor(TypeClosure(params, ret, _)) = {`closure`} ∪ ⋃_{⟨_, t⟩ ∈ params} TypeCtor(t) ∪ TypeCtor(ret)","CursiveSpecification.md:131",""
"","TypeCtor(TypePath([""Region""]))","TypeCtor(TypePath([""Region""])) = {`region`}","CursiveSpecification.md:132",""
"","TypeCtor(TypePath([""RegionOptions""]))","TypeCtor(TypePath([""RegionOptions""])) = {`region_options`}","CursiveSpecification.md:133",""
"","TypeCtor(TypePath(p))","TypeCtor(TypePath(p)) = {`record`} if RecordDecl(p) defined","CursiveSpecification.md:134",""
"","TypeCtor(TypePath(p))","TypeCtor(TypePath(p)) = {`enum`} if EnumDecl(p) defined","CursiveSpecification.md:135",""
"","TypeCtor(_)","TypeCtor(_) = ∅","CursiveSpecification.md:136",""
"","TypeConstructs(P)","TypeConstructs(P) = ⋃_{m ∈ P.modules} ⋃_{t ∈ TypeNodes(P, m)} TypeCtor(t)","CursiveSpecification.md:138",""
"","PermOfType(TypePerm(p, _))","PermOfType(TypePerm(p, _)) = {p}","CursiveSpecification.md:140",""
"","PermOfType(_)","PermOfType(_) = ∅","CursiveSpecification.md:141",""
"","RecvPerms(members)","RecvPerms(members) = { p | ∃ attrs, vis, ov, name, gen_params, recv, params, ret, contract, body, span, doc. MethodDecl(attrs, vis, ov, name, gen_params, recv, params, ret, contract, body, span, doc) ∈ members ∧ recv = ReceiverShorthand(p) }","CursiveSpecification.md:142",""
"","ClassRecvPerms(items)","ClassRecvPerms(items) = { p | ∃ attrs, vis, name, gen_params, recv, params, ret, contract, body, span, doc. ClassMethodDecl(attrs, vis, name, gen_params, recv, params, ret, contract, body, span, doc) ∈ items ∧ recv = ReceiverShorthand(p) }","CursiveSpecification.md:143",""
"","StateRecvPerms(states)","StateRecvPerms(states) = { p | ∃ S, members, span, doc, attrs, vis, name, gen_params, recv, params, ret, contract, body. StateBlock(S, members, span, doc) ∈ states ∧ StateMethodDecl(attrs, vis, name, gen_params, recv, params, ret, contract, body, _, _) ∈ members ∧ recv = ReceiverShorthand(p) }","CursiveSpecification.md:144",""
"","PermConstructs(P)","PermConstructs(P) = ⋃_{m ∈ P.modules} ⋃_{t ∈ TypeNodes(P, m)} PermOfType(t) ∪ ⋃_{m ∈ P.modules} ⋃_{RecordDecl(_, _, _, _, _, _, members, _, _, _) ∈ ASTModule(P, m).items} RecvPerms(members) ∪ ⋃_{m ∈ P.modules} ⋃_{ModalDecl(_, _, _, _, _, _, states, _, _, _) ∈ ASTModule(P, m).items} StateRecvPerms(states) ∪ ⋃_{m ∈ P.modules} ⋃_{ClassDecl(_, _, _, _, _, _, _, items, _, _) ∈ ASTModule(P, m).items} ClassRecvPerms(items)","CursiveSpecification.md:145",""
"","ExprKind(Literal(_))","ExprKind(Literal(_)) = `literal`","CursiveSpecification.md:147",""
"","ExprKind(Identifier(_))","ExprKind(Identifier(_)) = `identifier`","CursiveSpecification.md:148",""
"","ExprKind(FieldAccess(_, _))","ExprKind(FieldAccess(_, _)) = `field_access`","CursiveSpecification.md:149",""
"","ExprKind(TupleAccess(_, _))","ExprKind(TupleAccess(_, _)) = `tuple_index`","CursiveSpecification.md:150",""
"","ExprKind(IndexAccess(_, _))","ExprKind(IndexAccess(_, _)) = `index`","CursiveSpecification.md:151",""
"","ExprKind(IfExpr(_, _, _))","ExprKind(IfExpr(_, _, _)) = `if`","CursiveSpecification.md:152",""
"","ExprKind(IfIsExpr(_, _, _, _))","ExprKind(IfIsExpr(_, _, _, _)) = `if`","CursiveSpecification.md:153",""
"","ExprKind(IfCaseExpr(_, _, _))","ExprKind(IfCaseExpr(_, _, _)) = `if`","CursiveSpecification.md:154",""
"","ExprKind(LoopInfinite(_, _))","ExprKind(LoopInfinite(_, _)) = `loop`","CursiveSpecification.md:155",""
"","ExprKind(LoopConditional(_, _, _))","ExprKind(LoopConditional(_, _, _)) = `loop`","CursiveSpecification.md:156",""
"","ExprKind(LoopIter(_, _, _, _, _))","ExprKind(LoopIter(_, _, _, _, _)) = `loop`","CursiveSpecification.md:157",""
"","ExprKind(MoveExpr(_))","ExprKind(MoveExpr(_)) = `move`","CursiveSpecification.md:158",""
"","ExprKind(Unary(`""widen""`, _))","ExprKind(Unary(`""widen""`, _)) = `widen`","CursiveSpecification.md:159",""
"","ExprKind(TransmuteExpr(_, _, _))","ExprKind(TransmuteExpr(_, _, _)) = `transmute`","CursiveSpecification.md:160",""
"","ExprKind(UnsafeBlockExpr(_))","ExprKind(UnsafeBlockExpr(_)) = `unsafe`","CursiveSpecification.md:161",""
"","ExprKind(AllocExpr(_, _))","ExprKind(AllocExpr(_, _)) = `region_alloc`","CursiveSpecification.md:162",""
"","ExprKind(MethodCall(_, _, _))","ExprKind(MethodCall(_, _, _)) = `method_call`","CursiveSpecification.md:163",""
"","ExprKind(Propagate(_))","ExprKind(Propagate(_)) = `union_propagate`","CursiveSpecification.md:164",""
"","ExprKind(ParallelExpr(_, _, _))","ExprKind(ParallelExpr(_, _, _)) = `parallel`","CursiveSpecification.md:165",""
"","ExprKind(SpawnExpr(_, _))","ExprKind(SpawnExpr(_, _)) = `spawn`","CursiveSpecification.md:166",""
"","ExprKind(DispatchExpr(_, _, _, _, _))","ExprKind(DispatchExpr(_, _, _, _, _)) = `dispatch`","CursiveSpecification.md:167",""
"","ExprKind(WaitExpr(_))","ExprKind(WaitExpr(_)) = `wait`","CursiveSpecification.md:168",""
"","ExprKind(YieldExpr(_, _))","ExprKind(YieldExpr(_, _)) = `yield`","CursiveSpecification.md:169",""
"","ExprKind(YieldFromExpr(_, _))","ExprKind(YieldFromExpr(_, _)) = `yield`","CursiveSpecification.md:170",""
"","ExprKind(SyncExpr(_))","ExprKind(SyncExpr(_)) = `sync`","CursiveSpecification.md:171",""
"","ExprKind(RaceExpr(_))","ExprKind(RaceExpr(_)) = `race`","CursiveSpecification.md:172",""
"","ExprKind(AllExpr(_))","ExprKind(AllExpr(_)) = `all`","CursiveSpecification.md:173",""
"","ExprKind(_)","ExprKind(_) = ⊥","CursiveSpecification.md:174",""
"","StmtKind(LetStmt(_))","StmtKind(LetStmt(_)) = `let`","CursiveSpecification.md:176",""
"","StmtKind(VarStmt(_))","StmtKind(VarStmt(_)) = `var`","CursiveSpecification.md:177",""
"","StmtKind(ShadowLetStmt(_, _, _))","StmtKind(ShadowLetStmt(_, _, _)) = `shadow`","CursiveSpecification.md:178",""
"","StmtKind(ShadowVarStmt(_, _, _))","StmtKind(ShadowVarStmt(_, _, _)) = `shadow`","CursiveSpecification.md:179",""
"","StmtKind(AssignStmt(_, _))","StmtKind(AssignStmt(_, _)) = `assign`","CursiveSpecification.md:180",""
"","StmtKind(CompoundAssignStmt(_, _, _))","StmtKind(CompoundAssignStmt(_, _, _)) = `compound_assign`","CursiveSpecification.md:181",""
"","StmtKind(DeferStmt(_))","StmtKind(DeferStmt(_)) = `defer`","CursiveSpecification.md:182",""
"","StmtKind(RegionStmt(_, _, _))","StmtKind(RegionStmt(_, _, _)) = `region`","CursiveSpecification.md:183",""
"","StmtKind(FrameStmt(_, _))","StmtKind(FrameStmt(_, _)) = `frame`","CursiveSpecification.md:184",""
"","StmtKind(KeyBlockStmt(_, _, _, _))","StmtKind(KeyBlockStmt(_, _, _, _)) = `key_block`","CursiveSpecification.md:185",""
"","StmtKind(ReturnStmt(_))","StmtKind(ReturnStmt(_)) = `return`","CursiveSpecification.md:186",""
"","StmtKind(BreakStmt(_))","StmtKind(BreakStmt(_)) = `break`","CursiveSpecification.md:187",""
"","StmtKind(ContinueStmt)","StmtKind(ContinueStmt) = `continue`","CursiveSpecification.md:188",""
"","StmtKind(UnsafeBlockStmt(_))","StmtKind(UnsafeBlockStmt(_)) = `unsafe`","CursiveSpecification.md:189",""
"","StmtKind(_)","StmtKind(_) = ⊥","CursiveSpecification.md:190",""
"","ExprStmtConstructs(P)","ExprStmtConstructs(P) = { ExprKind(e) | m ∈ P.modules ∧ e ∈ ExprNodes(P, m) ∧ ExprKind(e) ≠ ⊥ } ∪ { StmtKind(s) | m ∈ P.modules ∧ s ∈ StmtNodes(P, m) ∧ StmtKind(s) ≠ ⊥ }","CursiveSpecification.md:192",""
"","CapConstructs(P)","CapConstructs(P) = { c | c ∈ {`Context`, `FileSystem`, `Network`, `HeapAllocator`, `ExecutionDomain`, `Reactor`} ∧ ∃ m, t. m ∈ P.modules ∧ t ∈ TypeNodes(P, m) ∧ t = TypePath([c]) }","CursiveSpecification.md:194",""
"","Constructs(P)","Constructs(P) = TopDeclConstructs(P) ∪ TypeConstructs(P) ∪ PermConstructs(P) ∪ ExprStmtConstructs(P) ∪ CapConstructs(P)","CursiveSpecification.md:196",""
"","Reject-IllFormed","**(Reject-IllFormed)**
¬ Conforming(P)
─────────────────
Γ ⊢ Reject(P)","CursiveSpecification.md:198-201",""
"","Cursive Language Specification > 1. Conformance and Notation > 1.1 Conformance paragraph @203","**TranslationPhases.**","CursiveSpecification.md:203",""
"","TranslationPhases","TranslationPhases = [Phase1, Phase2, Phase3, Phase4]","CursiveSpecification.md:204",""
"","Cursive Language Specification > 1. Conformance and Notation > 1.2 Behavior Types paragraph @208","**IllFormed.**","CursiveSpecification.md:208",""
"","StaticJudgSet","StaticJudgSet = WFModulePathJudg ∪ LinkJudg ∪ ParseJudgment ∪ ResolvePathJudg ∪ ResolveExprListJudg ∪ ResolveEnumPayloadJudg ∪ ResolveCalleeJudg ∪ ResolveIfCaseJudg ∪ ResolveStmtSeqJudg ∪ TypeEqJudg ∪ ConstLenJudg ∪ SubtypingJudg ∪ PermAdmitsJudg ∪ ArgsOkTJudg ∪ TypeInfJudg ∪ StmtJudg ∪ PatJudg ∪ ExprJudg ∪ CaseJudg ∪ DeclJudg ∪ BJudgment ∪ ArgPassJudg ∪ ProvPlaceJudg ∪ ProvExprJudg ∪ ProvStmtJudg ∪ BlockProvJudg ∪ ArgsOkJudg ∪ TypeWFJudg ∪ StringBytesJudg ∪ BitcopyDropJudg ∪ BitcopyJudg ∪ CloneJudg ∪ DropJudg ∪ FfiSafeJudg ∪ TypeRefsJudg ∪ ValueRefsJudg ∪ CodegenJudg ∪ LayoutJudg ∪ EncodeConstJudg ∪ ValidValueJudg ∪ RecordLayoutJudg ∪ UnionLayoutJudg ∪ TupleLayoutJudg ∪ RangeLayoutJudg ∪ EnumLayoutJudg ∪ ModalLayoutJudg ∪ DynLayoutJudg ∪ ABITyJudg ∪ ABIParamJudg ∪ ABIRetJudg ∪ ABICallJudg ∪ LowerCallJudg ∪ MangleJudg ∪ LinkageJudg ∪ EvalOrderJudg ∪ LowerExprJudg ∪ LowerStmtJudg ∪ PatternLowerJudg ∪ LowerBindJudg ∪ GlobalsJudg ∪ ConstInitJudg ∪ CleanupJudg ∪ RuntimeIfcJudg ∪ DynDispatchJudg ∪ ChecksJudg ∪ LLVMAttrJudg ∪ RuntimeDeclJudg ∪ LLVMTyJudg ∪ LLVMEmitJudg ∪ LowerIRJudg ∪ BindStorageJudg ∪ LLVMCallJudg ∪ VTableJudg ∪ LiteralEmitJudg ∪ BuiltinSymJudg ∪ DropHookJudg ∪ EntryJudg ∪ PoisonJudg","CursiveSpecification.md:209",""
"","StaticRuleSet","StaticRuleSet = { r | Conclusion(r) ∈ StaticJudgSet }","CursiveSpecification.md:210",""
"","Conclusion(r)","Conclusion(r) = J    (r is written (π_1 … π_k) / J)","CursiveSpecification.md:211",""
"","Premises(r)","Premises(r) = [π_1, …, π_k]    (r is written (π_1 … π_k) / _)","CursiveSpecification.md:212",""
"","Subject(Γ","Subject(Γ ⊢ j) = j_0 where j_0 is the leftmost term to the right of ⊢","CursiveSpecification.md:213",""
"","EnvOf(Γ","EnvOf(Γ ⊢ j) = Γ
θ ranges over substitutions of metavariables in r","CursiveSpecification.md:214-215",""
"","Applies(r, x)","Applies(r, x) ⇔ ∃ θ. Subject(Conclusion(r)[θ]) = x","CursiveSpecification.md:216",""
"","PremisesHold(r, x)","PremisesHold(r, x) ⇔ ∃ θ. Subject(Conclusion(r)[θ]) = x ∧ Γ_r = EnvOf(Conclusion(r)[θ]) ∧ ∀ π ∈ Premises(r)[θ]. π ≠ ⊥ ∧ (π is a judgment ⇒ Γ_r ⊢ π)","CursiveSpecification.md:217",""
"","IllFormed(x)","IllFormed(x) ⇔ ∃ r ∈ StaticRuleSet. Applies(r, x) ∧ ¬ PremisesHold(r, x)","CursiveSpecification.md:218",""
"","Cursive Language Specification > 1. Conformance and Notation > 1.2 Behavior Types paragraph @220","**Undefinedness Policy.**","CursiveSpecification.md:220",""
