row_id,task_id,responsibility,shared_work_surface,status,rule name,spec location,compiler location,rule content
21,TASK-005,Cross-Phase / Build Setup and Infrastructure,compiler/04_analysis,incorrect,Γ,CursiveSpecification.md:91,cursive/src/04_analysis/conformance/conformance.cpp:57-67; cursive/include/04_analysis/conformance/conformance.h:13-24,"Γ ⊢ Phase4Order(P) ⇓ ok ⇔ ∃ Ms, Ms_ct, Ms_res, Objs, IRs, Artifact. Γ ⊢ ParseModules(P) ⇓ Ms ∧ Γ ⊢ ExecuteComptime(P, Ms) ⇓ Ms_ct ∧ FirstFail(Phase3Checks(P, Ms_ct, Ms_res)) = ⊥ ∧ P_res = ProjectView(P, Ms_res) ∧ Γ_res = Γ[project ↦ P_res] ∧ Γ_res ⊢ OutputPipeline(P_res) ⇓ (Objs, IRs, Artifact)"
22,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,Cursive Language Specification > 1. Conformance and Notation > 1.1 Conformance paragraph @93,CursiveSpecification.md:93,,**Constructs.**
23,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,"TypeNodes(P, m)",CursiveSpecification.md:94,,"TypeNodes(P, m) = { t | t ∈ Type ∧ Subnode(ASTModule(P, m), t) }"
24,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,"StmtNodes(P, m)",CursiveSpecification.md:95,,"StmtNodes(P, m) = { s | s ∈ Stmt ∧ Subnode(ASTModule(P, m), s) }"
25,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ItemKind(UsingDecl(_, _, _, _, _))",CursiveSpecification.md:97,cursive/src/02_source/ast/nodes/ast_nodes.cpp:239-257,"ItemKind(UsingDecl(_, _, _, _, _)) = `using_decl`"
26,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ItemKind(ProcedureDecl(_, _, _, _, _, _, _, _, _, _, _))",CursiveSpecification.md:98,cursive/src/02_source/ast/nodes/ast_nodes.cpp:239-257,"ItemKind(ProcedureDecl(_, _, _, _, _, _, _, _, _, _, _)) = `procedure`"
27,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ItemKind(RecordDecl(_, _, _, _, _, _, _, _, _, _))",CursiveSpecification.md:99,cursive/src/02_source/ast/nodes/ast_nodes.cpp:239-257,"ItemKind(RecordDecl(_, _, _, _, _, _, _, _, _, _)) = `record`"
28,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ItemKind(EnumDecl(_, _, _, _, _, _, _, _, _, _))",CursiveSpecification.md:100,cursive/src/02_source/ast/nodes/ast_nodes.cpp:239-257,"ItemKind(EnumDecl(_, _, _, _, _, _, _, _, _, _)) = `enum`"
29,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ItemKind(ModalDecl(_, _, _, _, _, _, _, _, _, _))",CursiveSpecification.md:101,cursive/src/02_source/ast/nodes/ast_nodes.cpp:239-257,"ItemKind(ModalDecl(_, _, _, _, _, _, _, _, _, _)) = `modal`"
30,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ItemKind(ClassDecl(_, _, _, _, _, _, _, _, _, _))",CursiveSpecification.md:102,cursive/src/02_source/ast/nodes/ast_nodes.cpp:239-257,"ItemKind(ClassDecl(_, _, _, _, _, _, _, _, _, _)) = `class`"
31,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ItemKind(TypeAliasDecl(_, _, _, _, _, _, _, _))",CursiveSpecification.md:103,cursive/src/02_source/ast/nodes/ast_nodes.cpp:239-257,"ItemKind(TypeAliasDecl(_, _, _, _, _, _, _, _)) = `type_alias`"
32,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ItemKind(StaticDecl(_, _, _, _, _, _))",CursiveSpecification.md:104,cursive/src/02_source/ast/nodes/ast_nodes.cpp:239-257,"ItemKind(StaticDecl(_, _, _, _, _, _)) = `static_decl`"
33,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,ItemKind(_),CursiveSpecification.md:105,cursive/src/02_source/ast/nodes/ast_nodes.cpp:239-257,ItemKind(_) = ⊥
34,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,TopDeclConstructs(P),CursiveSpecification.md:107,,"TopDeclConstructs(P) = { ItemKind(it) | m ∈ P.modules ∧ it ∈ ASTModule(P, m).items ∧ ItemKind(it) ≠ ⊥ }"
35,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,"TypeCtor(TypePerm(_, base))",CursiveSpecification.md:109,,"TypeCtor(TypePerm(_, base)) = TypeCtor(base)"
36,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,TypeCtor(TypePrim(name)),CursiveSpecification.md:110,,TypeCtor(TypePrim(name)) = {name}
37,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,TypeCtor(TypeTuple(elems)),CursiveSpecification.md:111,,TypeCtor(TypeTuple(elems)) = {`tuple`} ∪ ⋃_{t ∈ elems} TypeCtor(t)
38,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,"TypeCtor(TypeArray(elem, _))",CursiveSpecification.md:112,,"TypeCtor(TypeArray(elem, _)) = {`array`} ∪ TypeCtor(elem)"
39,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,TypeCtor(TypeSlice(elem)),CursiveSpecification.md:113,,TypeCtor(TypeSlice(elem)) = {`slice`} ∪ TypeCtor(elem)
40,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,TypeCtor(TypeUnion(members)),CursiveSpecification.md:114,,TypeCtor(TypeUnion(members)) = {`union`} ∪ ⋃_{t ∈ members} TypeCtor(t)
41,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,"TypeCtor(TypeFunc(params, ret))",CursiveSpecification.md:115,,"TypeCtor(TypeFunc(params, ret)) = {`function`} ∪ ⋃_{⟨_, t⟩ ∈ params} TypeCtor(t) ∪ TypeCtor(ret)"
42,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,"TypeCtor(TypeApply(path, _))",CursiveSpecification.md:116,,"TypeCtor(TypeApply(path, _)) = TypeCtor(TypePath(path))"
43,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,"TypeCtor(TypePtr(elem, _))",CursiveSpecification.md:117,,"TypeCtor(TypePtr(elem, _)) = {`ptr`} ∪ TypeCtor(elem)"
44,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,"TypeCtor(TypeRawPtr(_, elem))",CursiveSpecification.md:118,,"TypeCtor(TypeRawPtr(_, elem)) = {`rawptr`} ∪ TypeCtor(elem)"
45,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,TypeCtor(TypeString(_)),CursiveSpecification.md:119,,TypeCtor(TypeString(_)) = {`string`}
46,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,TypeCtor(TypeBytes(_)),CursiveSpecification.md:120,,TypeCtor(TypeBytes(_)) = {`bytes`}
47,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,TypeCtor(TypeDynamic(_)),CursiveSpecification.md:121,,TypeCtor(TypeDynamic(_)) = {`dyn_class`}
48,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,TypeCtor(TypeOpaque(_)),CursiveSpecification.md:122,,TypeCtor(TypeOpaque(_)) = {`opaque`}
49,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,"TypeCtor(TypeRefine(base, _))",CursiveSpecification.md:123,,"TypeCtor(TypeRefine(base, _)) = {`refinement`} ∪ TypeCtor(base)"
50,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,"TypeCtor(TypeModalState(_, _))",CursiveSpecification.md:124,,"TypeCtor(TypeModalState(_, _)) = {`modal`}"
51,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,TypeCtor(TypeRange(base)),CursiveSpecification.md:125,,TypeCtor(TypeRange(base)) = {`range`} ∪ TypeCtor(base)
52,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,TypeCtor(TypeRangeInclusive(base)),CursiveSpecification.md:126,,TypeCtor(TypeRangeInclusive(base)) = {`range_inclusive`} ∪ TypeCtor(base)
53,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,TypeCtor(TypeRangeFrom(base)),CursiveSpecification.md:127,,TypeCtor(TypeRangeFrom(base)) = {`range_from`} ∪ TypeCtor(base)
54,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,TypeCtor(TypeRangeTo(base)),CursiveSpecification.md:128,,TypeCtor(TypeRangeTo(base)) = {`range_to`} ∪ TypeCtor(base)
55,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,TypeCtor(TypeRangeToInclusive(base)),CursiveSpecification.md:129,,TypeCtor(TypeRangeToInclusive(base)) = {`range_to_inclusive`} ∪ TypeCtor(base)
56,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,TypeCtor(TypeRangeFull),CursiveSpecification.md:130,,TypeCtor(TypeRangeFull) = {`range_full`}
57,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,"TypeCtor(TypeClosure(params, ret, _))",CursiveSpecification.md:131,,"TypeCtor(TypeClosure(params, ret, _)) = {`closure`} ∪ ⋃_{⟨_, t⟩ ∈ params} TypeCtor(t) ∪ TypeCtor(ret)"
58,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,"TypeCtor(TypePath([""Region""]))",CursiveSpecification.md:132,,"TypeCtor(TypePath([""Region""])) = {`region`}"
59,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,"TypeCtor(TypePath([""RegionOptions""]))",CursiveSpecification.md:133,,"TypeCtor(TypePath([""RegionOptions""])) = {`region_options`}"
60,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,TypeCtor(TypePath(p)),CursiveSpecification.md:134,,TypeCtor(TypePath(p)) = {`record`} if RecordDecl(p) defined
61,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,TypeCtor(TypePath(p)),CursiveSpecification.md:135,,TypeCtor(TypePath(p)) = {`enum`} if EnumDecl(p) defined
62,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,TypeCtor(_),CursiveSpecification.md:136,,TypeCtor(_) = ∅
63,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,TypeConstructs(P),CursiveSpecification.md:138,,"TypeConstructs(P) = ⋃_{m ∈ P.modules} ⋃_{t ∈ TypeNodes(P, m)} TypeCtor(t)"
65,TASK-005,Cross-Phase / Build Setup and Infrastructure,compiler/04_analysis,incorrect,PermOfType(_),CursiveSpecification.md:141,cursive/src/04_analysis/typing/type_expr.cpp:1605-1611,PermOfType(_) = ∅
66,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,RecvPerms(members),CursiveSpecification.md:142,,"RecvPerms(members) = { p | ∃ attrs, vis, ov, name, gen_params, recv, params, ret, contract, body, span, doc. MethodDecl(attrs, vis, ov, name, gen_params, recv, params, ret, contract, body, span, doc) ∈ members ∧ recv = ReceiverShorthand(p) }"
67,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,ClassRecvPerms(items),CursiveSpecification.md:143,,"ClassRecvPerms(items) = { p | ∃ attrs, vis, name, gen_params, recv, params, ret, contract, body, span, doc. ClassMethodDecl(attrs, vis, name, gen_params, recv, params, ret, contract, body, span, doc) ∈ items ∧ recv = ReceiverShorthand(p) }"
68,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,StateRecvPerms(states),CursiveSpecification.md:144,,"StateRecvPerms(states) = { p | ∃ S, members, span, doc, attrs, vis, name, gen_params, recv, params, ret, contract, body. StateBlock(S, members, span, doc) ∈ states ∧ StateMethodDecl(attrs, vis, name, gen_params, recv, params, ret, contract, body, _, _) ∈ members ∧ recv = ReceiverShorthand(p) }"
69,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,PermConstructs(P),CursiveSpecification.md:145,,"PermConstructs(P) = ⋃_{m ∈ P.modules} ⋃_{t ∈ TypeNodes(P, m)} PermOfType(t) ∪ ⋃_{m ∈ P.modules} ⋃_{RecordDecl(_, _, _, _, _, _, members, _, _, _) ∈ ASTModule(P, m).items} RecvPerms(members) ∪ ⋃_{m ∈ P.modules} ⋃_{ModalDecl(_, _, _, _, _, _, states, _, _, _) ∈ ASTModule(P, m).items} StateRecvPerms(states) ∪ ⋃_{m ∈ P.modules} ⋃_{ClassDecl(_, _, _, _, _, _, _, items, _, _) ∈ ASTModule(P, m).items} ClassRecvPerms(items)"
70,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,ExprKind(Literal(_)),CursiveSpecification.md:147,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,ExprKind(Literal(_)) = `literal`
71,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,ExprKind(Identifier(_)),CursiveSpecification.md:148,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,ExprKind(Identifier(_)) = `identifier`
72,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ExprKind(FieldAccess(_, _))",CursiveSpecification.md:149,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,"ExprKind(FieldAccess(_, _)) = `field_access`"
73,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ExprKind(TupleAccess(_, _))",CursiveSpecification.md:150,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,"ExprKind(TupleAccess(_, _)) = `tuple_index`"
74,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ExprKind(IndexAccess(_, _))",CursiveSpecification.md:151,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,"ExprKind(IndexAccess(_, _)) = `index`"
75,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ExprKind(IfExpr(_, _, _))",CursiveSpecification.md:152,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,"ExprKind(IfExpr(_, _, _)) = `if`"
76,TASK-001,Cross-Phase / Build Setup and Infrastructure,unmapped/no-compiler-location,missing,"ExprKind(IfIsExpr(_, _, _, _))",CursiveSpecification.md:153,,"ExprKind(IfIsExpr(_, _, _, _)) = `if`"
77,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ExprKind(IfCaseExpr(_, _, _))",CursiveSpecification.md:154,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,"ExprKind(IfCaseExpr(_, _, _)) = `if`"
78,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ExprKind(LoopInfinite(_, _))",CursiveSpecification.md:155,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,"ExprKind(LoopInfinite(_, _)) = `loop`"
79,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ExprKind(LoopConditional(_, _, _))",CursiveSpecification.md:156,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,"ExprKind(LoopConditional(_, _, _)) = `loop`"
80,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ExprKind(LoopIter(_, _, _, _, _))",CursiveSpecification.md:157,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,"ExprKind(LoopIter(_, _, _, _, _)) = `loop`"
81,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,ExprKind(MoveExpr(_)),CursiveSpecification.md:158,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,ExprKind(MoveExpr(_)) = `move`
82,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ExprKind(Unary(`""widen""`, _))",CursiveSpecification.md:159,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,"ExprKind(Unary(`""widen""`, _)) = `widen`"
83,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ExprKind(TransmuteExpr(_, _, _))",CursiveSpecification.md:160,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,"ExprKind(TransmuteExpr(_, _, _)) = `transmute`"
84,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,ExprKind(UnsafeBlockExpr(_)),CursiveSpecification.md:161,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,ExprKind(UnsafeBlockExpr(_)) = `unsafe`
85,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ExprKind(AllocExpr(_, _))",CursiveSpecification.md:162,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,"ExprKind(AllocExpr(_, _)) = `region_alloc`"
86,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ExprKind(MethodCall(_, _, _))",CursiveSpecification.md:163,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,"ExprKind(MethodCall(_, _, _)) = `method_call`"
87,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,ExprKind(Propagate(_)),CursiveSpecification.md:164,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,ExprKind(Propagate(_)) = `union_propagate`
88,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ExprKind(ParallelExpr(_, _, _))",CursiveSpecification.md:165,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,"ExprKind(ParallelExpr(_, _, _)) = `parallel`"
89,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ExprKind(SpawnExpr(_, _))",CursiveSpecification.md:166,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,"ExprKind(SpawnExpr(_, _)) = `spawn`"
90,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ExprKind(DispatchExpr(_, _, _, _, _))",CursiveSpecification.md:167,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,"ExprKind(DispatchExpr(_, _, _, _, _)) = `dispatch`"
91,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,ExprKind(WaitExpr(_)),CursiveSpecification.md:168,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,ExprKind(WaitExpr(_)) = `wait`
92,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ExprKind(YieldExpr(_, _))",CursiveSpecification.md:169,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,"ExprKind(YieldExpr(_, _)) = `yield`"
93,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"ExprKind(YieldFromExpr(_, _))",CursiveSpecification.md:170,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,"ExprKind(YieldFromExpr(_, _)) = `yield`"
94,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,ExprKind(SyncExpr(_)),CursiveSpecification.md:171,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,ExprKind(SyncExpr(_)) = `sync`
95,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,ExprKind(RaceExpr(_)),CursiveSpecification.md:172,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,ExprKind(RaceExpr(_)) = `race`
96,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,ExprKind(AllExpr(_)),CursiveSpecification.md:173,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,ExprKind(AllExpr(_)) = `all`
97,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,ExprKind(_),CursiveSpecification.md:174,cursive/src/02_source/ast/nodes/ast_nodes.cpp:74-148,ExprKind(_) = ⊥
98,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,StmtKind(LetStmt(_)),CursiveSpecification.md:176,cursive/src/02_source/ast/nodes/ast_nodes.cpp:222-239,StmtKind(LetStmt(_)) = `let`
99,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,StmtKind(VarStmt(_)),CursiveSpecification.md:177,cursive/src/02_source/ast/nodes/ast_nodes.cpp:222-239,StmtKind(VarStmt(_)) = `var`
100,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"StmtKind(ShadowLetStmt(_, _, _))",CursiveSpecification.md:178,cursive/src/02_source/ast/nodes/ast_nodes.cpp:222-239,"StmtKind(ShadowLetStmt(_, _, _)) = `shadow`"
101,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"StmtKind(ShadowVarStmt(_, _, _))",CursiveSpecification.md:179,cursive/src/02_source/ast/nodes/ast_nodes.cpp:222-239,"StmtKind(ShadowVarStmt(_, _, _)) = `shadow`"
102,TASK-002,Cross-Phase / Build Setup and Infrastructure,compiler/02_source,incorrect,"StmtKind(AssignStmt(_, _))",CursiveSpecification.md:180,cursive/src/02_source/ast/nodes/ast_nodes.cpp:222-239,"StmtKind(AssignStmt(_, _)) = `assign`"
